"Sr.No","Invoice ID","Dealership","Service Centre","OEM","State","City","Machine","Month","Invoice Date","TotalAmount Incl. GST(INR)"
1,"TI/BV/96","Trijal Motors ","Trijal Motors - Whitefield","TVS","Karnataka","Bengaluru","M-03","December","12/31/2024 11:01 PM","108147.00"
2,"TI/BV/95","Sabharwal Automobiles","Rama road - delhi TVS","TVS","Delhi","New Delhi","M-05","December","12/31/2024 11:01 PM","88500.00"
3,"TI/BV/94","Patel Mobility LLP","Varaccha - Patel Mobility ","TVS","Gujarat","Surat","M-04","December","12/31/2024 11:01 PM","88500.00"
4,"TI/BV/93","BVIPL DEMO","PRAGATI MAIDAN","BVIPL DEMO","Delhi","New Delhi","RE02","December","12/31/2024 11:01 PM","5.00"
5,"TI/BV/92","Manmohan Auto Stores","Manmohan Auto Stores- Phase-1","Royal Enfield","Haryana","Chandigarh","GWMRE
","December","12/31/2024 11:01 PM","84960.00"
6,"TI/BV/91","Saisum Motors Pvt Ltd","Saisum Motors-MG-VIS-Jaipur","MG Motor","Rajasthan","Jaipur","4WBM-01","December","12/31/2024 11:01 PM","256650.00"
7,"TI/BV/90","PLATINUM AUTO SALES","Platinum Auto Sales","Honda","Punjab","Mohali","GWMTVS1","December","12/31/2024 11:01 PM","88500.00"
